style         name             type         notes    measurement    dataset    ordering      precision    value     left    right        span    preliminary  arxiv              conf
superchooz    SuperCHOOZ       reactor      {}       estimation     3_years    NO                    4  0.1      0.0005   0.0005   0.001                   1  {}                 {}
nufit5.2      NuFIT_5.2        theory       {}       {}             {}         NO                    5  0.08702  0.00226  0.00214  0.00439544              0  {}                 {}
dayabay       Daya_Bay         reactor      nGd      {}             {}         NO                    4  0.0851   0.0024   0.0024   0.0048                  0  hep-ex/2206.09040  {}
capozzietal.  Capozzi_et_al.   theory       {}       {}             {}         NO                    5  0.08721  0.00229  0.00267  0.00496756              0  hep-ph/2107.00532  {}
desalasetal.  de_Salas_et_al.  theory       {}       {}             {}         NO                    5  0.08702  0.00298  0.0021   0.00508448              0  hep-ph/2006.11237  {}
pdg2023       PDG_2023         theory       {}       {}             {}         NO                    5  0.08606  0.00268  0.00267  0.0053536               0  {}                 {}
dune          DUNE             accelerator  {}       estimation     7_years    NO                    4  0.0873   0.005    0.005    0.01                    0  hep-ex/2006.16043  {}
reno          RENO             reactor      nGd      {}             {}         NO                    4  0.0892   0.0063   0.0063   0.0125873               1  {}                 Neutrino2020
junoreactor   JUNO_reactor     reactor      {}       estimation     6_years    NO                    4  0.0853   0.01     0.0099   0.0198931               0  hep-ex/2204.13249  {}
dayabay       Daya_Bay         reactor      nH       {}             {}         NO                    3  0.071    0.011    0.011    0.022                   0  hep-ex/1603.03549  Neutrino2016
reno          RENO             reactor      nH       {}             {}         NO                    3  0.086    0.012    0.012    0.0233238               1  {}                 Neutrino2022
doublechooz   Double_CHOOZ     reactor      {}       {}             {}         NO                    3  0.102    0.012    0.012    0.0234094               1  {}                 Neutrino2020
t2k           T2K              accelerator  {}       {}             {}         NO                    4  0.1003   0.0124   0.0123   0.024661                1  {}                 {}
novat2k       NOvA+T2K         accelerator  {}       {}             {}         NO                    4  0.0892   0.0125   0.0158   0.0283                  1  {}                 {}
nova          NOvA             accelerator  {}       {}             {}         NO                    3  0.084    0.016    0.019    0.035                   1  {}                 {}
